marca,modelo,cod_fipe,novo_a,novo_g,med18a,med18g,med17a,med17g,med16a,med16g,med15a,med15g,med14a,med14g,med13a,med13g,med12a,med12g,med11a,med11g,med10a,med10g,med09a,med09g,med08a,med08g,med07a,med07g,med06a,med06g,med05a,med05g,med04a,med04g,med03a,med03g,med02a,med02g,med01a,med01g,med00a,med00g,med99a,med99g,med98a,med98g,med97a,med97g,med96a,med96g,med95a,med95g,med94g,med93g,med92g,med91g,med90g,med89g,med88g,med87g,med86g,med85g,num_passag
Asia Motors,Towner Panel Van,007005-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3783,,3568,,3418,,3177,2627,,,,,,,,,,00002
Asia Motors,Towner Pick-Up,007008-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979,,4699,,4482,,,,,,,,,,,,,,,00002
Asia Motors,Towner SDX / DLX/ STD,007006-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7302,,6999,,6485,,6256,5246,4927,,,,,,,,,00007
Asia Motors,Towner Super Luxo,007013-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7548,,6737,,6488,,,,,,,,,,,,,,,00007
Asia Motors,Towner Truck,007007-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6196,,5954,,5744,,5453,4912,4642,,,,,,,,,00002
ASTON MARTIN,DB9 Coupe 6.0 V12 510cv,085011-0,,,,,,,,1463199,,,,1054753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,DB9 Volante 6.0 V12 470cv,085006-3,,,,,,,,,,,,,,,,,,587860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Rapide 6.0 V12 477cv,085007-1,,,,,,,,,,,,,,,,848583,,683291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Rapide S 6.0 V12 550cv,085009-8,,1850000,,,,,,1588429,,,,1242199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vanquish V12 6.0 565cv,085010-1,,2700000,,,,,,2151816,,,,1568395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Vantage 6.0 V12 510cv,085004-7,,,,,,,,,,,,,,,,663255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage Coupe 4.7 V8 425cv,085002-0,,850200,,,,,,712586,,,,674440,,,,471902,,353952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage Roadster 4.7 V8 420cv,085003-9,,,,,,,,,,,,,,,,,,380137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage S 6.0 V12 565cv,085008-0,,1700000,,,,,,1295975,,1068072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Vantage S Coupe 4.7 V8 430cv,085001-2,,,,,,,,,,,,,,,,478875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Virage Coupe 6.0 V12 490cv,085005-5,,,,,,,,,,,,,,,,670120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
Audi,100 2.8 V6,008030-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14437,12327,11818,,,,,,,,,00005
Audi,100 2.8 V6 Avant,008076-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16982,13606,,,,,,,,,,00005
Audi,100 S-4 2.2 Avant Turbo,008031-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18873,16845,,,,,,,,,,00005
Audi,80 2.0,008001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13635,11014,,,,,,,,,,00005
Audi,80 2.0 Avant,008077-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13745,12697,,,,,,,,,,00005
Audi,80 2.6/ 2.8,008080-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15025,13210,,,,,,,,,,00005
Audi,80 2.6/2.8 Avant,008002-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18644,,17696,16841,,,,,,,,,,00005
Audi,80 2.8 Cabriolet,008003-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50848,,47073,,41695,,40155,,38910,33211,,,,,,,,,,00004
Audi,80 S2 Avant,008004-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18504,15940,,,,,,,,,,00005
Audi,A1 1.4 TFSI 122cv S-tronic 3p,008153-1,,,,,,,,,,,,66985,,63910,,54149,,50834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 2.0 TFSI Quattro 256cv 3p,008177-9,,,,,,,,,,,,,,170102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,008172-8,,,,,,,,,,,,74206,,67866,,59428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,008210-4,,120517,,,,107090,,96977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,008174-4,,110748,,,,,,,,85307,,79208,,73913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,008173-6,,109212,,,,96160,,88991,,74572,,71089,,62704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,008204-0,,123146,,,,,,101565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.6 3p,008032-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19450,,18375,,17282,,16503,,15661,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.6 3p Aut,008056-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20355,,19066,,17434,,16561,,15704,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.6 5p,008040-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23776,,22160,,21425,,19552,,18720,,17807,,17021,,15783,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.6 5p Aut,008057-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20365,,19107,,18216,,17122,,16283,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.6 8V 102cv 3p,008116-7,,,,,,,,,,,,,,,,,,,,,,,,,,35844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 3p,008005-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20425,,18891,,17658,,17121,,16228,,15121,,14635,,14056,,,,,,,,,,,,,,,00005
Audi,A3 1.8 3p Aut.,008043-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21245,,19793,,18836,,17531,,16641,,16101,,15611,,14405,,,,,,,,,,,,,,,00005
Audi,A3 1.8 5p Aut.,008042-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25307,,22136,,21298,,19847,,19241,,17985,,17098,,16510,,15621,,15102,,,,,,,,,,,,,,,00005
Audi,A3 1.8 5p Mec.,008041-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22883,,21068,,20443,,19129,,18073,,17431,,16721,,15312,,14798,,13664,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 3p Aut./ Tip.,008073-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21224,,19876,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 3p Mec.,008074-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21714,,20010,,19020,,17935,,15880,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 5p Aut./ Tip.,008071-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,26110,,24214,,21985,,21256,,20198,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 180cv 5p Mec.,008072-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25883,,23092,,21871,,20799,,20148,,18419,,17008,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 3p Aut.,008046-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20958,,18542,,17889,,17316,,16768,,16102,,15396,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 3p Mec.,008006-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21608,,20634,,18220,,17663,,16860,,16107,,15576,,15063,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 5p Aut.,008045-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,26833,,23375,,21909,,20914,,20275,,18999,,17525,,16825,,16319,,,,,,,,,,,,,,,,,00005
Audi,A3 1.8 Turbo 5p Mec.,008044-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,25983,,23354,,21352,,20255,,19590,,18770,,17149,,16379,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,008195-7,,179018,,,,,,145447,,138080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Audi,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,008205-8,,146570,,,,127955,,122714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,008190-6,,132806,,,,,,106608,,93084,,84444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sedan 1.4 TFSI Flex Tiptronic 4p ,008203-1,,114726,,,,102441,,94510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,008192-2,,103097,,,,,,91669,,79965,,75199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sport 1.8 16V TFSI S-Tronic 3p,008181-7,,,,,,,,,,,,79485,,76639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sport 2.0 16V TFSI S Tronic,008138-8,,,,,,,,,,,,,,79623,,56975,,53413,,49752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 1.4 TFSI S-Tronic,008184-1,,122719,,,,104286,,96439,,78421,,71491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 1.6 8V 102cv 5p,008117-5,,,,,,,,,,,,,,,,,,,,48356,,46911,,44335,,36082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 1.8 16V TFSI S-Tronic 5p,008185-0,,149297,,,,,,120375,,93847,,81967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 2.0 16V TFSI Mec.,008118-3,,,,,,,,,,,,,,,,,,56884,,54638,,49013,,45636,,41654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A3 Sportback 2.0 16V TFSI S-Tronic,008119-1,,,,,,,,,,,,,,70493,,66240,,57915,,54903,,49249,,45754,,42631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 1.8  Aut.,008047-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22673,,20385,,18907,,18211,,16563,,15790,,14006,,,,,,,,,,,00005
Audi,A4 1.8  Mec.,008007-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18594,,17755,,16194,,15702,,13773,,12998,,12339,,,,,,,,,,,00005
Audi,A4 1.8 Avant Aut.,008048-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24102,,22217,,20340,,,,17795,,15057,,,,,,,,,,,,,00005
Audi,A4 1.8 Avant Mec.,008009-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22767,,21323,,19388,,18433,,17763,,14345,,,,,,,,,,,,,00005
Audi,A4 1.8 Avant Turbo Mec.,008010-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23527,,21752,,19391,,18472,,17788,,15397,,,,,,,,,,,,,00005
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,008049-7,,147704,,,,,,126456,,113197,,,,,,,,,,,,,,46118,,44600,,43261,,33293,,31740,,28831,,25690,,23605,,21853,,20121,,19506,,17797,,16309,,,,,,,,,,,,,00005
Audi,A4 1.8 Tip./ Multitronic Turbo,008008-0,,128198,,,,,,110013,,91227,,,,,,,,,,,,,,41719,,38846,,34959,,32321,,30344,,27380,,25741,,20687,,19139,,18262,,17492,,16115,,14636,,13789,,,,,,,,,,,00005
Audi,A4 1.8 Turbo,008070-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21728,,19938,,18945,,17808,,16500,,15006,,13835,,,,,,,,,,,00005
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,008132-9,,,,,,,,,,,,83311,,75274,,65945,,59989,,56453,,51359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 16V TFSI 200/ 214cv Multitronic,008120-5,,,,,,,,,,,,,,,,,,66787,,64554,,57113,,54120,,41143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 16V TFSI Quattro Stronic,008170-1,,,,,,,,,,,,119174,,90974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 20V 130cv Multitronic 4p,008101-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26474,,25665,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant 16V TFSI Quattro Stronic,008171-0,,,,,,,,,,,,131994,,127746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant Ambi. 2.0 16V TFSi S tronic,008211-2,,188861,,,,173950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,008133-7,,,,,,,,,,,,88411,,85251,,68377,,65410,,59231,,54591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.0 Avant TFSI 200/214cv Multitron.,008121-3,,,,,,,,,,,,,,,,,,86148,,76001,,69544,,54231,,46715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Audi,A4 2.4 30V Avant Mec,008020-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26852,,22557,,20668,,19132,,,,,,,,,,,,,,,,,00005
